Date,Open,High,Low,Close,Sentiment_Score
12/1/2023,37718.00781,38954.10938,37629.35938,38688.75,0.5
12/2/2023,38689.27734,39678.9375,38652.59375,39476.33203,0.5
12/3/2023,39472.20703,40135.60547,39298.16406,39978.39063,0.5
12/4/2023,39978.62891,42371.75,39978.62891,41980.09766,0.5
12/5/2023,41986.26563,44408.66406,41421.14844,44080.64844,0.5
12/6/2023,44080.02344,44265.76953,43478.08203,43746.44531,0.5
12/7/2023,43769.13281,44042.58984,42880.64844,43292.66406,0.5
12/8/2023,43293.13672,44705.51563,43125.29688,44166.60156,0.5
12/9/2023,44180.01953,44361.25781,43627.59766,43725.98438,0.5
12/10/2023,43728.38281,44034.625,43593.28516,43779.69922,0.5
12/11/2023,43792.01953,43808.375,40234.57813,41243.83203,0.5
12/12/2023,41238.73438,42048.30469,40667.5625,41450.22266,0.5
12/13/2023,41468.46484,43429.78125,40676.86719,42890.74219,0.5
12/14/2023,42884.26172,43390.85938,41767.08984,43023.97266,0.5
12/15/2023,43028.25,43087.82422,41692.96875,41929.75781,0.5
12/16/2023,41937.74219,42664.94531,41723.11328,42240.11719,0.5
12/17/2023,42236.10938,42359.49609,41274.54297,41364.66406,0.5
12/18/2023,41348.20313,42720.29688,40530.25781,42623.53906,0.5
12/19/2023,42641.51172,43354.29688,41826.33594,42270.52734,0.5
12/20/2023,42261.30078,44275.58594,42223.81641,43652.25,0.5
12/21/2023,43648.125,44240.66797,43330.05078,43869.15234,0.5
12/22/2023,43868.98828,44367.95703,43441.96875,43997.90234,0.5
12/23/2023,44012.19922,44015.69922,43351.35547,43739.54297,0.5
12/24/2023,43728.36719,43945.52344,42786.91797,43016.11719,0.5
12/25/2023,43010.57422,43765.09375,42765.76953,43613.14063,0.5
12/26/2023,43599.84766,43603.17578,41676.48828,42520.40234,0.5
12/27/2023,42518.46875,43683.16016,42167.58203,43442.85547,0.5
12/28/2023,43468.19922,43804.78125,42318.55078,42627.85547,0.5
12/29/2023,42614.64453,43124.32422,41424.0625,42099.40234,0.5
12/30/2023,42091.75391,42584.125,41556.22656,42156.90234,0.5
12/31/2023,42152.09766,42860.9375,41998.25391,42265.1875,0.5
1/1/2024,42280.23438,44175.4375,42214.97656,44167.33203,0.5
1/2/2024,44187.14063,45899.70703,44176.94922,44957.96875,0.5
1/3/2024,44961.60156,45503.24219,40813.53516,42848.17578,0.5
1/4/2024,42855.81641,44770.02344,42675.17578,44179.92188,0.5
1/5/2024,44192.98047,44353.28516,42784.71875,44162.69141,0.5
1/6/2024,44178.95313,44227.63281,43475.15625,43989.19531,0.5
1/7/2024,43998.46484,44495.57031,43662.23047,43943.09766,0.5
1/8/2024,43948.70703,47218,43244.08203,46970.50391,0.5
1/9/2024,46987.64063,47893.69922,45244.71484,46139.73047,0.5
1/10/2024,46121.53906,47647.22266,44483.15234,46627.77734,0.5
1/11/2024,46656.07422,48969.37109,45678.64453,46368.58594,0.5
1/12/2024,46354.79297,46498.13672,41903.76953,42853.16797,0.5
1/13/2024,42799.44531,43234.66016,42464.14453,42842.38281,0.5
1/14/2024,42842.26172,43065.59766,41724.61328,41796.26953,0.5
1/15/2024,41715.06641,43319.72266,41705.41797,42511.96875,0.5
1/16/2024,42499.33594,43566.27344,42085.99609,43154.94531,0.5
1/17/2024,43132.10156,43189.89063,42189.30859,42742.65234,0.5
1/18/2024,42742.3125,42876.34766,40631.17188,41262.05859,0.5
1/19/2024,41278.46094,42134.16016,40297.45703,41618.40625,0.5
1/20/2024,41624.58984,41877.89453,41446.82422,41665.58594,0.5
1/21/2024,41671.48828,41855.36719,41497.00781,41545.78516,0.5
1/22/2024,41553.65234,41651.20703,39450.11719,39507.36719,0.5
1/23/2024,39518.71484,40127.35156,38521.89453,39845.55078,0.5
1/24/2024,39877.59375,40483.78516,39508.79688,40077.07422,0.5
1/25/2024,40075.55078,40254.48047,39545.66406,39933.80859,0.5
1/26/2024,39936.81641,42209.38672,39825.69141,41816.87109,0.5
1/27/2024,41815.625,42195.63281,41431.28125,42120.05469,0.5
1/28/2024,42126.125,42797.17578,41696.91016,42035.59375,0.5
