conversation_id,created_at,full_text
1.36153E+18,2021-02-16T04:21:22.000Z,"$50,000."
1.25624E+18,2020-05-01T15:12:20.000Z,@elonmusk Bitcoin price is too low imo
1.4027E+18,2021-06-09T18:34:13.000Z,🇸🇻 https://t.co/1MXcNFGbLB
1.37075E+18,2021-03-13T14:46:08.000Z,"$60,000."
1.56062E+18,2022-08-19T13:46:29.000Z,https://t.co/TCFiJTeKni
1.40926E+18,2021-06-27T21:05:27.000Z,https://t.co/rIYio2TC0w
1.14233E+18,2019-06-22T07:20:27.000Z,The future of Facebook's Libra coin https://t.co/OVnjuqouPv
1.48976E+18,2022-02-05T00:21:47.000Z,"$41,500. It's alive!"
1.41946E+18,2021-07-26T01:07:27.000Z,"$38,000."
1.38221E+18,2021-04-14T05:38:19.000Z,"$64,150."
1.39792E+18,2021-05-27T14:04:08.000Z,"$40,000."
1.44593E+18,2021-10-07T02:05:14.000Z,"The $60,000 resistance. https://t.co/Eueq2h8dxE"
1.45792E+18,2021-11-09T04:01:46.000Z,"$68,500."
1.40265E+18,2021-06-09T15:31:27.000Z,"$36,000."
1.49542E+18,2022-02-20T15:34:13.000Z,"$38,225. 📈 https://t.co/jJYsXO7ioa"
1.4587E+18,2021-11-11T07:16:39.000Z,🤷‍♂️ https://t.co/WTIjzkNef5
1.45083E+18,2021-10-20T14:20:49.000Z,"$65,700. A new #Bitcoin ATH. 🌕"
1.56355E+18,2022-08-27T15:47:08.000Z,😂 https://t.co/pS5kfdmfw5
1.53859E+18,2022-06-19T18:17:36.000Z,Have fun in 2022. https://t.co/wNx1QFcAip
1.48539E+18,2022-01-23T22:58:21.000Z,😂 https://t.co/eIASN7MnxM
1.36283E+18,2021-02-19T18:31:19.000Z,https://t.co/x1deChsaFX
1.42128E+18,2021-07-31T01:04:42.000Z,"$42,000."
1.49072E+18,2022-02-07T16:02:16.000Z,"$43,950. https://t.co/mkTyct2I8w"
1.39522E+18,2021-05-20T03:37:07.000Z,"$38,000."
1.48685E+18,2022-01-27T23:52:03.000Z,😂 https://t.co/HO9jEouWz0
1.44905E+18,2021-10-15T16:15:31.000Z,"$60,000."
1.44586E+18,2021-10-06T21:17:00.000Z,"$55,000."
1.39522E+18,2021-05-20T03:29:27.000Z,Just more of the same. https://t.co/zdulOlN1Hv
1.46686E+18,2021-12-03T20:17:47.000Z,"iPhone 4 - 2,857 #BTC
iPhone 5 - 16.6 #BTC
iPhone 6 - 2.17 #BTC
iPhone 7 - 1.28 #BTC
iPhone 8 - 0.24 #BTC
iPhone X - 0.16 #BTC
iPhone 11 - 0.14 #BTC
iPhone 12 - 0.06 #BTC
iPhone 13 - 0.02 #BTC

Deflation is a beautiful thing."
1.71279E+18,2023-10-13T11:12:13.000Z,So that is where the logo came from... https://t.co/fk3HqpDXZH
1.47657E+18,2021-12-30T15:22:11.000Z,Nice one @mcdonalds 😂 https://t.co/ewi4NaXuqk
1.48854E+18,2022-02-01T15:38:10.000Z,https://t.co/riBrigPTVx
1.66249E+18,2023-05-27T16:16:33.000Z,"The current @federalreserve chairman Jerome Powell said the quiet part out loud in 2011. 

When the debt ceiling is passed then the @USTreasury needs to create chaos in Europe &amp; the stock market in order to increase demand for the newly issued government bonds. https://t.co/Y02eso2NOE"
1.45056E+18,2021-10-19T20:25:26.000Z,"$64,200."
1.47294E+18,2021-12-20T14:46:06.000Z,https://t.co/v0bw5t2heO
1.59145E+18,2022-11-12T15:16:34.000Z,Could be? https://t.co/STtz5HkYse
1.52895E+18,2022-05-24T04:14:43.000Z,"Eventually, all good things must come to an end. https://t.co/KifMzQ5rrw"
1.515E+18,2022-04-15T16:22:52.000Z,A friendly rivalry between @elonmusk and @JeffBezos ... 😂 https://t.co/kquSx1HmQN
1.46701E+18,2021-12-04T05:59:04.000Z,"$47,000. 📉"
