conversation_id,created_at,full_text,Processed_Tweet
1.36153e+18,2021-02-16T04:21:22.000Z,"$50,000.",50000
1.25624e+18,2020-05-01T15:12:20.000Z,@elonmusk Bitcoin price is too low imo,bitcoin price low imo
1.4027e+18,2021-06-09T18:34:13.000Z,🇸🇻 https://t.co/1MXcNFGbLB,
1.37075e+18,2021-03-13T14:46:08.000Z,"$60,000.",60000
1.56062e+18,2022-08-19T13:46:29.000Z,https://t.co/TCFiJTeKni,
1.40926e+18,2021-06-27T21:05:27.000Z,https://t.co/rIYio2TC0w,
1.14233e+18,2019-06-22T07:20:27.000Z,The future of Facebook's Libra coin https://t.co/OVnjuqouPv,future facebooks libra coin
1.48976e+18,2022-02-05T00:21:47.000Z,"$41,500. It's alive!",41500 alive
1.41946e+18,2021-07-26T01:07:27.000Z,"$38,000.",38000
1.38221e+18,2021-04-14T05:38:19.000Z,"$64,150.",64150
1.39792e+18,2021-05-27T14:04:08.000Z,"$40,000.",40000
1.44593e+18,2021-10-07T02:05:14.000Z,"The $60,000 resistance. https://t.co/Eueq2h8dxE",60000 resistance
1.45792e+18,2021-11-09T04:01:46.000Z,"$68,500.",68500
1.40265e+18,2021-06-09T15:31:27.000Z,"$36,000.",36000
1.49542e+18,2022-02-20T15:34:13.000Z,"$38,225. 📈 https://t.co/jJYsXO7ioa",38225
1.4587e+18,2021-11-11T07:16:39.000Z,🤷‍♂️ https://t.co/WTIjzkNef5,
1.45083e+18,2021-10-20T14:20:49.000Z,"$65,700. A new #Bitcoin ATH. 🌕",65700 new bitcoin ath
1.56355e+18,2022-08-27T15:47:08.000Z,😂 https://t.co/pS5kfdmfw5,
1.53859e+18,2022-06-19T18:17:36.000Z,Have fun in 2022. https://t.co/wNx1QFcAip,fun 2022
1.48539e+18,2022-01-23T22:58:21.000Z,😂 https://t.co/eIASN7MnxM,
1.36283e+18,2021-02-19T18:31:19.000Z,https://t.co/x1deChsaFX,
1.42128e+18,2021-07-31T01:04:42.000Z,"$42,000.",42000
1.49072e+18,2022-02-07T16:02:16.000Z,"$43,950. https://t.co/mkTyct2I8w",43950
1.39522e+18,2021-05-20T03:37:07.000Z,"$38,000.",38000
1.48685e+18,2022-01-27T23:52:03.000Z,😂 https://t.co/HO9jEouWz0,
1.44905e+18,2021-10-15T16:15:31.000Z,"$60,000.",60000
1.44586e+18,2021-10-06T21:17:00.000Z,"$55,000.",55000
1.39522e+18,2021-05-20T03:29:27.000Z,Just more of the same. https://t.co/zdulOlN1Hv,
